Dui,Nombre,Telefono,Correo_electronico,Salario,Seguro
132184473,Encarnacion Calzada,6004 7049,encarnacion.calzada1@gmail.com,1968.76,Sin seguro
882748004,Rico Gual,6841 5191,rico.gual2@gmail.com,841.67,Seguro de salud
711661802,Maxi Agullo,4688 3765,maxi.agullo3@hotmail.com,1402.56,Seguro de salud
678752568,Sara Guerrero,4473 6391,sara.guerrero4@gmail.com,2892.78,Seguro de Accidentes Básico
542816047,María Ángeles Azorin,5374 9738,maria angeles.azorin5@hotmail.com,2573.24,Sin seguro
639174721,Ana Belén Vallejo,1657 2731,ana belen.vallejo6@hotmail.com,2551.64,Seguro de Accidentes Básico
132957606,Marco Girona,6487 7946,marco.girona7@hotmail.com,920.1,Seguro de salud
477606022,Jose Pedro,6128 5811,jose.pedro8@gmail.com,2988.57,Seguro de Accidentes Básico
224390632,Angelina Ibarra,4181 6250,angelina.ibarra9@gmail.com,1207.81,Seguro de salud
283036477,Ignacia Galván,0909 9748,ignacia.galvan10@gmail.com,1632.68,Seguro de salud
243001616,Paulina Garrido,6612 6516,paulina.garrido11@gmail.com,1722.36,Sin seguro
964398950,Florencia Palmer,5320 2169,florencia.palmer12@gmail.com,1807.56,Seguro de Accidentes
722521836,Jose Ramón Jover,5564 8677,jose ramon.jover13@hotmail.com,2093.49,Sin seguro
139887618,Jose Miguel Vilaplana,6625 4522,jose miguel.vilaplana14@gmail.com,1461.89,Seguro de Accidentes Básico
982952537,Constanza Trujillo,0128 5588,constanza.trujillo15@gmail.com,1753.09,Seguro de salud
799354163,Guadalupe Puig,1927 6233,guadalupe.puig16@hotmail.com,2543.0,Seguro de Accidentes
721974441,Alicia Oliveras,0898 9823,alicia.oliveras17@gmail.com,919.93,Seguro de salud
343357553,Emilio Quevedo,8040 1938,emilio.quevedo18@outlook.com,1737.7,Seguro de Accidentes
498528749,Eufemia Marqués,6628 5983,eufemia.marques19@gmail.com,2346.54,Seguro de Accidentes Básico
311376824,Pili Arrieta,2336 0772,pili.arrieta20@hotmail.com,2643.29,Sin seguro
411511746,Josep Tenorio,3658 2375,josep.tenorio21@outlook.com,1535.71,Sin seguro
912629137,Luis Miguel Trillo,3074 2422,luis miguel.trillo22@gmail.com,2637.75,Seguro de Accidentes Básico
606011553,Miguel Ángel Sanabria,7859 1224,miguel angel.sanabria23@gmail.com,2507.26,Seguro de salud
69170344,Guillermo Lobato,2515 1140,guillermo.lobato24@gmail.com,2112.1,Sin seguro
306009751,Joaquín Armas,0051 7935,joaquin.armas25@hotmail.com,954.66,Sin seguro
948584667,Eusebio Agustí,1237 7854,eusebio.agusti26@gmail.com,1245.26,Sin seguro
548782630,Encarna Palomo,2862 2035,encarna.palomo27@gmail.com,2708.84,Sin seguro
795655015,Alejandro Mateo,0049 2226,alejandro.mateo28@gmail.com,2652.9,Sin seguro
701760990,Vinicio Bravo,7720 9125,vinicio.bravo29@gmail.com,1674.08,Seguro de Accidentes Básico
662630815,Narcisa Pino,5188 2379,narcisa.pino30@gmail.com,2664.2,Sin seguro
210073461,Virgilio Gargallo,9751 0783,virgilio.gargallo31@gmail.com,2067.6,Seguro de salud
922885451,María Pilar Andrade,6239 4661,maria pilar.andrade32@gmail.com,1812.27,Sin seguro
667322822,Paco Castejón,6132 5318,paco.castejon33@gmail.com,1747.63,Seguro de Accidentes
831719638,Priscila Gámez,7890 4627,priscila.gamez34@gmail.com,2065.56,Seguro de salud
49797445,Teófilo Carnero,3220 4007,teofilo.carnero35@gmail.com,871.01,Sin seguro
76842630,Candelas Mena,8615 9973,candelas.mena36@hotmail.com,2008.91,Seguro de salud
491188044,Alfredo Roig,6329 2871,alfredo.roig37@hotmail.com,2620.27,Seguro de Accidentes
881374213,Adalberto Peiró,2606 1047,adalberto.peiro38@gmail.com,2698.2,Seguro de Accidentes
783667439,Eliseo Ripoll,8534 1332,eliseo.ripoll39@gmail.com,2272.97,Sin seguro
523411923,Ainoa Baeza,5662 7714,ainoa.baeza40@hotmail.com,1484.13,Sin seguro
563953332,Alexandra Múgica,4399 8146,alexandra.mugica41@gmail.com,2039.01,Seguro de Accidentes
440771085,José Guijarro,3663 0953,jose.guijarro42@gmail.com,1276.95,Seguro de salud
36299839,Virgilio Roman,9321 5416,virgilio.roman43@hotmail.com,2969.66,Sin seguro
805400877,Leire Llamas,9185 9880,leire.llamas44@hotmail.com,1747.77,Seguro de Accidentes
