Id_socio,Nombre,Telefono,Correo_electronico,Fecha_registro,Id_plan
1,Feliciana Cantón,2043 3218,feliciana.canton1@gmail.com,2021-08-06,4
2,Dominga Roca,7001 3389,dominga.roca2@gmail.com,2021-01-30,4
3,Chelo Flor,2863 7940,chelo.flor3@hotmail.com,2022-03-20,2
4,José Rocamora,2542 3511,jose.rocamora4@gmail.com,2024-02-02,1
5,Cleto Palomar,7594 0781,cleto.palomar5@gmail.com,2024-01-29,3
6,Cayetano Marcos,2959 3103,cayetano.marcos6@gmail.com,2023-04-27,3
7,Cebrián Guerrero,2164 7525,cebrian.guerrero7@gmail.com,2023-11-17,2
8,Hugo Lasa,6192 8327,hugo.lasa8@hotmail.com,2024-01-31,1
9,Julián Gimenez,7503 0564,julian.gimenez9@hotmail.com,2021-06-02,1
10,Héctor Miranda,7376 7242,hector.miranda10@gmail.com,2022-12-15,4
11,Marcela Jódar,7969 6532,marcela.jodar11@gmail.com,2025-03-11,1
12,Ana Bou,6012 2691,ana.bou12@hotmail.com,2024-02-17,5
13,Rico Solé,2848 0184,rico.sole13@gmail.com,2023-10-01,1
14,Dani Marin,6627 0482,dani.marin14@gmail.com,2025-03-05,1
15,Ximena Camino,2489 3252,ximena.camino15@hotmail.com,2025-06-11,5
16,Melania Abascal,2957 0154,melania.abascal16@gmail.com,2022-11-22,1
17,Bautista Hernando,2911 7182,bautista.hernando17@gmail.com,2021-12-12,1
18,Georgina Talavera,7824 8963,georgina.talavera18@hotmail.com,2025-06-11,5
19,Marisol Font,6465 7871,marisol.font19@gmail.com,2022-12-19,3
20,Jafet Baró,6509 8393,jafet.baro20@gmail.com,2020-12-01,2
21,Calisto Barral,2310 5183,calisto.barral21@gmail.com,2023-03-24,6
22,Haydée Torralba,2382 9973,haydee.torralba22@gmail.com,2024-11-17,3
23,Noemí Ramírez,2311 6566,noemi.ramirez23@hotmail.com,2024-10-29,1
24,Rosario Balaguer,6106 5133,rosario.balaguer24@gmail.com,2022-06-22,6
25,Brunilda Sanabria,2262 4731,brunilda.sanabria25@hotmail.com,2024-08-16,4
26,Nuria Cabañas,7080 1326,nuria.cabanas26@gmail.com,2024-12-26,1
27,Alicia García,6602 6064,alicia.garcia27@gmail.com,2024-09-22,1
28,Lucho Rocha,2872 3430,lucho.rocha28@outlook.com,2025-10-13,1
29,Magdalena Barrera,2500 9788,magdalena.barrera29@gmail.com,2022-03-13,5
30,Baudelio Verdejo,2121 9136,baudelio.verdejo30@gmail.com,2021-11-16,1
31,Tania Hoz,7990 9169,tania.hoz31@hotmail.com,2025-08-31,2
32,Azeneth Molina,2435 3462,azeneth.molina32@hotmail.com,2023-05-30,5
33,Zacarías Molina,6107 9911,zacarias.molina33@gmail.com,2025-06-06,6
34,Ignacio Velasco,7425 1354,ignacio.velasco34@hotmail.com,2022-03-14,1
35,Urbano Mate,7980 8412,urbano.mate35@hotmail.com,2023-02-08,1
36,David Campo,7824 4935,david.campo36@hotmail.com,2022-08-03,2
37,Jacinta Laguna,7874 0164,jacinta.laguna37@gmail.com,2021-03-25,2
38,Abraham Múgica,6242 7868,abraham.mugica38@hotmail.com,2020-12-09,6
39,Dani Benet,7280 5982,dani.benet39@hotmail.com,2024-07-06,1
40,Edu Arnaiz,2450 5331,edu.arnaiz40@hotmail.com,2023-11-12,4
41,Melisa Ramos,6923 2260,melisa.ramos41@gmail.com,2022-05-20,2
42,Maite Márquez,6634 2160,maite.marquez42@gmail.com,2024-11-10,4
43,Iván Flores,2754 3303,ivan.flores43@gmail.com,2024-03-30,2
44,Nando Lopez,7145 8685,nando.lopez44@hotmail.com,2021-02-02,1
45,David Julián,2294 0196,david.julian45@gmail.com,2023-10-19,3
46,Luisina Mir,2698 1693,luisina.mir46@gmail.com,2023-01-09,2
47,Arsenio Rubio,7088 3561,arsenio.rubio47@hotmail.com,2023-08-31,4
48,Estrella Mir,2148 4656,estrella.mir48@outlook.com,2023-05-16,2
49,Casandra Castejón,6366 2994,casandra.castejon49@gmail.com,2024-04-23,6
50,Carlota Abad,6443 6995,carlota.abad50@gmail.com,2024-10-23,1
51,Vasco Salamanca,2387 2148,vasco.salamanca51@outlook.com,2023-09-16,1
52,Ciro Gutierrez,6433 2003,ciro.gutierrez52@hotmail.com,2024-11-24,6
53,Emiliana Beltran,2769 3676,emiliana.beltran53@hotmail.com,2022-12-07,1
54,Eusebio Adán,6163 2870,eusebio.adan54@outlook.com,2025-08-06,1
55,Josep Carrión,2727 8895,josep.carrion55@hotmail.com,2024-08-15,2
56,Emperatriz Vargas,7687 2774,emperatriz.vargas56@outlook.com,2022-12-17,4
57,Priscila Lluch,2873 4714,priscila.lluch57@gmail.com,2022-11-07,1
58,Lalo Narváez,2581 2236,lalo.narvaez58@hotmail.com,2022-02-26,2
59,Lara Gargallo,2166 5876,lara.gargallo59@gmail.com,2021-05-21,1
60,Hilario Rivera,7690 9670,hilario.rivera60@gmail.com,2023-11-06,2
61,Marc Porta,7688 9373,marc.porta61@hotmail.com,2023-03-06,1
62,Tristán Torralba,2065 6272,tristan.torralba62@hotmail.com,2025-05-26,1
63,Amando Prada,7990 1627,amando.prada63@hotmail.com,2022-05-27,1
64,Aureliano Juan,7653 7556,aureliano.juan64@gmail.com,2023-03-23,2
65,Marina Robles,2417 0805,marina.robles65@gmail.com,2022-10-06,6
66,Florentina Bayona,2003 3092,florentina.bayona66@hotmail.com,2022-11-20,1
67,Edmundo Sáenz,6193 7452,edmundo.saenz67@hotmail.com,2021-10-30,1
68,Mayte Céspedes,7419 0496,mayte.cespedes68@hotmail.com,2024-03-25,2
69,Ligia Fiol,6193 1491,ligia.fiol69@gmail.com,2025-09-02,4
70,Micaela Armengol,2586 5185,micaela.armengol70@hotmail.com,2020-12-18,3
71,Reina Rivera,7716 5726,reina.rivera71@gmail.com,2022-05-10,1
72,Macarena Vélez,7498 7769,macarena.velez72@gmail.com,2023-02-20,1
73,Mohamed Higueras,6147 3799,mohamed.higueras73@gmail.com,2024-01-30,1
74,Nicodemo Andrade,6752 7354,nicodemo.andrade74@gmail.com,2023-10-02,6
75,Lino Llorente,6808 3136,lino.llorente75@hotmail.com,2025-01-04,5
76,Catalina Hernandez,7777 0143,catalina.hernandez76@gmail.com,2024-04-18,6
